CodeValue,ValueLabel,file,year
K,Ratio adjustment,S2007_CN,2007
L,Imputed using the Group Median procedure,S2007_CN,2007
N,Imputed using Nearest Neighbor procedure,S2007_CN,2007
P,Imputed using Carry Forward procedure,S2007_CN,2007
R,Reported,S2007_CN,2007
Z,Implied zero;,S2007_CN,2007
A,Not applicable,S2007_F,2007
B,Institution left item blank,S2007_F,2007
C,Analyst corrected reported value,S2007_F,2007
D,Do not know,S2007_F,2007
G,Data generated from other data values,S2007_F,2007
H,Value not derived - data not usable,S2007_F,2007
J,Logical imputation,S2007_F,2007
K,Ratio adjustment,S2007_F,2007
L,Imputed using the Group Median procedure,S2007_F,2007
N,Imputed using Nearest Neighbor procedure,S2007_F,2007
P,Imputed using Carry Forward procedure,S2007_F,2007
R,Reported,S2007_F,2007
Z,Implied zero;,S2007_F,2007
A,Not applicable,S2007_G,2007
B,Institution left item blank,S2007_G,2007
C,Analyst corrected reported value,S2007_G,2007
D,Do not know,S2007_G,2007
G,Data generated from other data values,S2007_G,2007
H,Value not derived - data not usable,S2007_G,2007
J,Logical imputation,S2007_G,2007
K,Ratio adjustment,S2007_G,2007
L,Imputed using the Group Median procedure,S2007_G,2007
N,Imputed using Nearest Neighbor procedure,S2007_G,2007
P,Imputed using Carry Forward procedure,S2007_G,2007
R,Reported,S2007_G,2007
Z,Implied zero;,S2007_G,2007
A,Not applicable,SAL2007_A,2007
B,Institution left item blank,SAL2007_A,2007
C,Analyst corrected reported value,SAL2007_A,2007
D,Do not know,SAL2007_A,2007
G,Data generated from other data values,SAL2007_A,2007
H,Value not derived - data not usable,SAL2007_A,2007
J,Logical imputation,SAL2007_A,2007
K,Ratio adjustment,SAL2007_A,2007
L,Imputed using the Group Median procedure,SAL2007_A,2007
N,Imputed using Nearest Neighbor procedure,SAL2007_A,2007
P,Imputed using Carry Forward procedure,SAL2007_A,2007
R,Reported,SAL2007_A,2007
Z,Implied zero;,SAL2007_A,2007
A,Not applicable,SAL2007_A_LT9,2007
B,Institution left item blank,SAL2007_A_LT9,2007
C,Analyst corrected reported value,SAL2007_A_LT9,2007
D,Do not know,SAL2007_A_LT9,2007
G,Data generated from other data values,SAL2007_A_LT9,2007
H,Value not derived - data not usable,SAL2007_A_LT9,2007
J,Logical imputation,SAL2007_A_LT9,2007
K,Ratio adjustment,SAL2007_A_LT9,2007
L,Imputed using the Group Median procedure,SAL2007_A_LT9,2007
N,Imputed using Nearest Neighbor procedure,SAL2007_A_LT9,2007
P,Imputed using Carry Forward procedure,SAL2007_A_LT9,2007
R,Reported,SAL2007_A_LT9,2007
Z,Implied zero;,SAL2007_A_LT9,2007
A,Not applicable,SAL2007_B,2007
B,Institution left item blank,SAL2007_B,2007
C,Analyst corrected reported value,SAL2007_B,2007
D,Do not know,SAL2007_B,2007
G,Data generated from other data values,SAL2007_B,2007
H,Value not derived - data not usable,SAL2007_B,2007
J,Logical imputation,SAL2007_B,2007
K,Ratio adjustment,SAL2007_B,2007
L,Imputed using the Group Median procedure,SAL2007_B,2007
N,Imputed using Nearest Neighbor procedure,SAL2007_B,2007
P,Imputed using Carry Forward procedure,SAL2007_B,2007
R,Reported,SAL2007_B,2007
Z,Implied zero;,SAL2007_B,2007
A,Not applicable,SAL2007_FACULTY,2007
B,Institution left item blank,SAL2007_FACULTY,2007
C,Analyst corrected reported value,SAL2007_FACULTY,2007
D,Do not know,SAL2007_FACULTY,2007
G,Data generated from other data values,SAL2007_FACULTY,2007
H,Value not derived - data not usable,SAL2007_FACULTY,2007
J,Logical imputation,SAL2007_FACULTY,2007
K,Ratio adjustment,SAL2007_FACULTY,2007
L,Imputed using the Group Median procedure,SAL2007_FACULTY,2007
N,Imputed using Nearest Neighbor procedure,SAL2007_FACULTY,2007
P,Imputed using Carry Forward procedure,SAL2007_FACULTY,2007
R,Reported,SAL2007_FACULTY,2007
Z,Implied zero;,SAL2007_FACULTY,2007
A,Not applicable,SFA0607,2007
B,Institution left item blank,SFA0607,2007
C,Analyst corrected reported value,SFA0607,2007
D,Do not know,SFA0607,2007
G,Data generated from other data values,SFA0607,2007
H,Value not derived - data not usable,SFA0607,2007
J,Logical imputation,SFA0607,2007
K,Ratio adjustment,SFA0607,2007
L,Imputed using the Group Median procedure,SFA0607,2007
N,Imputed using Nearest Neighbor procedure,SFA0607,2007
P,Imputed using Carry Forward procedure,SFA0607,2007
R,Reported,SFA0607,2007
Z,Implied zero;,SFA0607,2007
A,Not applicable,EAP2008,2008
B,Institution left item blank,EAP2008,2008
C,Analyst corrected reported value,EAP2008,2008
D,Do not know,EAP2008,2008
G,Data generated from other data values,EAP2008,2008
H,Value not derived - data not usable,EAP2008,2008
J,Logical imputation,EAP2008,2008
K,Ratio adjustment,EAP2008,2008
L,Imputed using the Group Median procedure,EAP2008,2008
N,Imputed using Nearest Neighbor procedure,EAP2008,2008
P,Imputed using Carry Forward procedure,EAP2008,2008
R,Reported,EAP2008,2008
Z,Implied zero;,EAP2008,2008
A,Not applicable,EF2008A,2008
B,Institution left item blank,EF2008A,2008
C,Analyst corrected reported value,EF2008A,2008
D,Do not know,EF2008A,2008
G,Data generated from other data values,EF2008A,2008
H,Value not derived - data not usable,EF2008A,2008
J,Logical imputation,EF2008A,2008
K,Ratio adjustment,EF2008A,2008
L,Imputed using the Group Median procedure,EF2008A,2008
N,Imputed using Nearest Neighbor procedure,EF2008A,2008
P,Imputed using Carry Forward procedure,EF2008A,2008
R,Reported,EF2008A,2008
Z,Implied zero;,EF2008A,2008
A,Not applicable,EF2008B,2008
B,Institution left item blank,EF2008B,2008
C,Analyst corrected reported value,EF2008B,2008
D,Do not know,EF2008B,2008
G,Data generated from other data values,EF2008B,2008
H,Value not derived - data not usable,EF2008B,2008
J,Logical imputation,EF2008B,2008
K,Ratio adjustment,EF2008B,2008
L,Imputed using the Group Median procedure,EF2008B,2008
N,Imputed using Nearest Neighbor procedure,EF2008B,2008
P,Imputed using Carry Forward procedure,EF2008B,2008
R,Reported,EF2008B,2008
Z,Implied zero;,EF2008B,2008
A,Not applicable,EF2008C,2008
B,Institution left item blank,EF2008C,2008
C,Analyst corrected reported value,EF2008C,2008
D,Do not know,EF2008C,2008
G,Data generated from other data values,EF2008C,2008
H,Value not derived - data not usable,EF2008C,2008
J,Logical imputation,EF2008C,2008
K,Ratio adjustment,EF2008C,2008
L,Imputed using the Group Median procedure,EF2008C,2008
N,Imputed using Nearest Neighbor procedure,EF2008C,2008
P,Imputed using Carry Forward procedure,EF2008C,2008
R,Reported,EF2008C,2008
Z,Implied zero;,EF2008C,2008
A,Not applicable,EF2008D,2008
B,Institution left item blank,EF2008D,2008
C,Analyst corrected reported value,EF2008D,2008
D,Do not know,EF2008D,2008
G,Data generated from other data values,EF2008D,2008
H,Value not derived - data not usable,EF2008D,2008
J,Logical imputation,EF2008D,2008
K,Ratio adjustment,EF2008D,2008
L,Imputed using the Group Median procedure,EF2008D,2008
N,Imputed using Nearest Neighbor procedure,EF2008D,2008
P,Imputed using Carry Forward procedure,EF2008D,2008
R,Reported,EF2008D,2008
Z,Implied zero;,EF2008D,2008
A,Not applicable,EFFY2008,2008
B,Institution left item blank,EFFY2008,2008
C,Analyst corrected reported value,EFFY2008,2008
D,Do not know,EFFY2008,2008
G,Data generated from other data values,EFFY2008,2008
H,Value not derived - data not usable,EFFY2008,2008
J,Logical imputation,EFFY2008,2008
K,Ratio adjustment,EFFY2008,2008
L,Imputed using the Group Median procedure,EFFY2008,2008
N,Imputed using Nearest Neighbor procedure,EFFY2008,2008
P,Imputed using Carry Forward procedure,EFFY2008,2008
R,Reported,EFFY2008,2008
Z,Implied zero;,EFFY2008,2008
A,Not applicable,EFIA2008,2008
B,Institution left item blank,EFIA2008,2008
C,Analyst corrected reported value,EFIA2008,2008
D,Do not know,EFIA2008,2008
G,Data generated from other data values,EFIA2008,2008
H,Value not derived - data not usable,EFIA2008,2008
J,Logical imputation,EFIA2008,2008
K,Ratio adjustment,EFIA2008,2008
L,Imputed using the Group Median procedure,EFIA2008,2008
N,Imputed using Nearest Neighbor procedure,EFIA2008,2008
P,Imputed using Carry Forward procedure,EFIA2008,2008
R,Reported,EFIA2008,2008
Z,Implied zero;,EFIA2008,2008
A,Not applicable,F0708_F1A,2008
B,Institution left item blank,F0708_F1A,2008
C,Analyst corrected reported value,F0708_F1A,2008
D,Do not know,F0708_F1A,2008
G,Data generated from other data values,F0708_F1A,2008
H,Value not derived - data not usable,F0708_F1A,2008
J,Logical imputation,F0708_F1A,2008
K,Ratio adjustment,F0708_F1A,2008
L,Imputed using the Group Median procedure,F0708_F1A,2008
N,Imputed using Nearest Neighbor procedure,F0708_F1A,2008
P,Imputed using Carry Forward procedure,F0708_F1A,2008
R,Reported,F0708_F1A,2008
Z,Implied zero;,F0708_F1A,2008
A,Not applicable,F0708_F2,2008
B,Institution left item blank,F0708_F2,2008
C,Analyst corrected reported value,F0708_F2,2008
D,Do not know,F0708_F2,2008
G,Data generated from other data values,F0708_F2,2008
H,Value not derived - data not usable,F0708_F2,2008
J,Logical imputation,F0708_F2,2008
K,Ratio adjustment,F0708_F2,2008
L,Imputed using the Group Median procedure,F0708_F2,2008
N,Imputed using Nearest Neighbor procedure,F0708_F2,2008
P,Imputed using Carry Forward procedure,F0708_F2,2008
R,Reported,F0708_F2,2008
Z,Implied zero;,F0708_F2,2008
A,Not applicable,F0708_F3,2008
B,Institution left item blank,F0708_F3,2008
C,Analyst corrected reported value,F0708_F3,2008
D,Do not know,F0708_F3,2008
G,Data generated from other data values,F0708_F3,2008
H,Value not derived - data not usable,F0708_F3,2008
J,Logical imputation,F0708_F3,2008
K,Ratio adjustment,F0708_F3,2008
L,Imputed using the Group Median procedure,F0708_F3,2008
N,Imputed using Nearest Neighbor procedure,F0708_F3,2008
P,Imputed using Carry Forward procedure,F0708_F3,2008
R,Reported,F0708_F3,2008
Z,Implied zero;,F0708_F3,2008
A,Not applicable,GR200_08,2008
B,Institution left item blank,GR200_08,2008
C,Analyst corrected reported value,GR200_08,2008
D,Do not know,GR200_08,2008
G,Data generated from other data values,GR200_08,2008
H,Value not derived - data not usable,GR200_08,2008
J,Logical imputation,GR200_08,2008
K,Ratio adjustment,GR200_08,2008
L,Imputed using the Group Median procedure,GR200_08,2008
N,Imputed using Nearest Neighbor procedure,GR200_08,2008
P,Imputed using Carry Forward procedure,GR200_08,2008
R,Reported,GR200_08,2008
Z,Implied zero;,GR200_08,2008
A,Not applicable,GR2008,2008
B,Institution left item blank,GR2008,2008
C,Analyst corrected reported value,GR2008,2008
D,Do not know,GR2008,2008
G,Data generated from other data values,GR2008,2008
H,Value not derived - data not usable,GR2008,2008
J,Logical imputation,GR2008,2008
K,Ratio adjustment,GR2008,2008
L,Imputed using the Group Median procedure,GR2008,2008
N,Imputed using Nearest Neighbor procedure,GR2008,2008
P,Imputed using Carry Forward procedure,GR2008,2008
R,Reported,GR2008,2008
Z,Implied zero;,GR2008,2008
A,Not applicable,GR2008_L2,2008
B,Institution left item blank,GR2008_L2,2008
C,Analyst corrected reported value,GR2008_L2,2008
D,Do not know,GR2008_L2,2008
G,Data generated from other data values,GR2008_L2,2008
H,Value not derived - data not usable,GR2008_L2,2008
J,Logical imputation,GR2008_L2,2008
K,Ratio adjustment,GR2008_L2,2008
L,Imputed using the Group Median procedure,GR2008_L2,2008
N,Imputed using Nearest Neighbor procedure,GR2008_L2,2008
P,Imputed using Carry Forward procedure,GR2008_L2,2008
R,Reported,GR2008_L2,2008
Z,Implied zero;,GR2008_L2,2008
A,Not applicable,IC2008_AY,2008
B,Institution left item blank,IC2008_AY,2008
C,Analyst corrected reported value,IC2008_AY,2008
D,Do not know,IC2008_AY,2008
G,Data generated from other data values,IC2008_AY,2008
H,Value not derived - data not usable,IC2008_AY,2008
J,Logical imputation,IC2008_AY,2008
K,Ratio adjustment,IC2008_AY,2008
L,Imputed using the Group Median procedure,IC2008_AY,2008
N,Imputed using Nearest Neighbor procedure,IC2008_AY,2008
P,Imputed using Carry Forward procedure,IC2008_AY,2008
R,Reported,IC2008_AY,2008
Y,Particular Doctor's professional practice field not applicable,IC2008_AY,2008
Z,Implied zero;,IC2008_AY,2008
A,Not applicable,IC2008,2008
B,Institution left item blank,IC2008,2008
C,Analyst corrected reported value,IC2008,2008
D,Do not know,IC2008,2008
G,Data generated from other data values,IC2008,2008
H,Value not derived - data not usable,IC2008,2008
J,Logical imputation,IC2008,2008
K,Ratio adjustment,IC2008,2008
L,Imputed using the Group Median procedure,IC2008,2008
N,Imputed using Nearest Neighbor procedure,IC2008,2008
P,Imputed using Carry Forward procedure,IC2008,2008
R,Reported,IC2008,2008
Z,Implied zero;,IC2008,2008
A,Not applicable,IC2008_PY,2008
B,Institution left item blank,IC2008_PY,2008
C,Analyst corrected reported value,IC2008_PY,2008
D,Do not know,IC2008_PY,2008
G,Data generated from other data values,IC2008_PY,2008
H,Value not derived - data not usable,IC2008_PY,2008
J,Logical imputation,IC2008_PY,2008
K,Ratio adjustment,IC2008_PY,2008
L,Imputed using the Group Median procedure,IC2008_PY,2008
N,Imputed using Nearest Neighbor procedure,IC2008_PY,2008
P,Imputed using Carry Forward procedure,IC2008_PY,2008
R,Reported,IC2008_PY,2008
Z,Implied zero;,IC2008_PY,2008
A,Not applicable,S2008_ABD,2008
B,Institution left item blank,S2008_ABD,2008
C,Analyst corrected reported value,S2008_ABD,2008
D,Do not know,S2008_ABD,2008
G,Data generated from other data values,S2008_ABD,2008
H,Value not derived - data not usable,S2008_ABD,2008
J,Logical imputation,S2008_ABD,2008
K,Ratio adjustment,S2008_ABD,2008
L,Imputed using the Group Median procedure,S2008_ABD,2008
N,Imputed using Nearest Neighbor procedure,S2008_ABD,2008
P,Imputed using Carry Forward procedure,S2008_ABD,2008
R,Reported,S2008_ABD,2008
Z,Implied zero;,S2008_ABD,2008
A,Not applicable,S2008_CN,2008
B,Institution left item blank,S2008_CN,2008
C,Analyst corrected reported value,S2008_CN,2008
D,Do not know,S2008_CN,2008
G,Data generated from other data values,S2008_CN,2008
H,Value not derived - data not usable,S2008_CN,2008
J,Logical imputation,S2008_CN,2008
K,Ratio adjustment,S2008_CN,2008
L,Imputed using the Group Median procedure,S2008_CN,2008
N,Imputed using Nearest Neighbor procedure,S2008_CN,2008
P,Imputed using Carry Forward procedure,S2008_CN,2008
R,Reported,S2008_CN,2008
Z,Implied zero;,S2008_CN,2008
A,Not applicable,S2008_F,2008
B,Institution left item blank,S2008_F,2008
C,Analyst corrected reported value,S2008_F,2008
D,Do not know,S2008_F,2008
G,Data generated from other data values,S2008_F,2008
H,Value not derived - data not usable,S2008_F,2008
J,Logical imputation,S2008_F,2008
K,Ratio adjustment,S2008_F,2008
L,Imputed using the Group Median procedure,S2008_F,2008
N,Imputed using Nearest Neighbor procedure,S2008_F,2008
P,Imputed using Carry Forward procedure,S2008_F,2008
R,Reported,S2008_F,2008
Z,Implied zero;,S2008_F,2008
A,Not applicable,S2008_G,2008
B,Institution left item blank,S2008_G,2008
C,Analyst corrected reported value,S2008_G,2008
D,Do not know,S2008_G,2008
G,Data generated from other data values,S2008_G,2008
H,Value not derived - data not usable,S2008_G,2008
J,Logical imputation,S2008_G,2008
K,Ratio adjustment,S2008_G,2008
L,Imputed using the Group Median procedure,S2008_G,2008
N,Imputed using Nearest Neighbor procedure,S2008_G,2008
P,Imputed using Carry Forward procedure,S2008_G,2008
R,Reported,S2008_G,2008
Z,Implied zero;,S2008_G,2008
A,Not applicable,SAL2008_A,2008
B,Institution left item blank,SAL2008_A,2008
C,Analyst corrected reported value,SAL2008_A,2008
D,Do not know,SAL2008_A,2008
G,Data generated from other data values,SAL2008_A,2008
H,Value not derived - data not usable,SAL2008_A,2008
J,Logical imputation,SAL2008_A,2008
K,Ratio adjustment,SAL2008_A,2008
L,Imputed using the Group Median procedure,SAL2008_A,2008
N,Imputed using Nearest Neighbor procedure,SAL2008_A,2008
P,Imputed using Carry Forward procedure,SAL2008_A,2008
R,Reported,SAL2008_A,2008
Z,Implied zero;,SAL2008_A,2008
A,Not applicable,SAL2008_A_LT9,2008
B,Institution left item blank,SAL2008_A_LT9,2008
C,Analyst corrected reported value,SAL2008_A_LT9,2008
D,Do not know,SAL2008_A_LT9,2008
G,Data generated from other data values,SAL2008_A_LT9,2008
H,Value not derived - data not usable,SAL2008_A_LT9,2008
J,Logical imputation,SAL2008_A_LT9,2008
K,Ratio adjustment,SAL2008_A_LT9,2008
L,Imputed using the Group Median procedure,SAL2008_A_LT9,2008
N,Imputed using Nearest Neighbor procedure,SAL2008_A_LT9,2008
P,Imputed using Carry Forward procedure,SAL2008_A_LT9,2008
R,Reported,SAL2008_A_LT9,2008
Z,Implied zero;,SAL2008_A_LT9,2008
A,Not applicable,SAL2008_B,2008
B,Institution left item blank,SAL2008_B,2008
C,Analyst corrected reported value,SAL2008_B,2008
D,Do not know,SAL2008_B,2008
G,Data generated from other data values,SAL2008_B,2008
H,Value not derived - data not usable,SAL2008_B,2008
J,Logical imputation,SAL2008_B,2008
K,Ratio adjustment,SAL2008_B,2008
L,Imputed using the Group Median procedure,SAL2008_B,2008
N,Imputed using Nearest Neighbor procedure,SAL2008_B,2008
P,Imputed using Carry Forward procedure,SAL2008_B,2008
R,Reported,SAL2008_B,2008
Z,Implied zero;,SAL2008_B,2008
A,Not applicable,SAL2008_FACULTY,2008
B,Institution left item blank,SAL2008_FACULTY,2008
C,Analyst corrected reported value,SAL2008_FACULTY,2008
D,Do not know,SAL2008_FACULTY,2008
G,Data generated from other data values,SAL2008_FACULTY,2008
H,Value not derived - data not usable,SAL2008_FACULTY,2008
J,Logical imputation,SAL2008_FACULTY,2008
K,Ratio adjustment,SAL2008_FACULTY,2008
L,Imputed using the Group Median procedure,SAL2008_FACULTY,2008
N,Imputed using Nearest Neighbor procedure,SAL2008_FACULTY,2008
P,Imputed using Carry Forward procedure,SAL2008_FACULTY,2008
R,Reported,SAL2008_FACULTY,2008
Z,Implied zero;,SAL2008_FACULTY,2008
A,Not applicable,SFA0708,2008
B,Institution left item blank,SFA0708,2008
C,Analyst corrected reported value,SFA0708,2008
D,Do not know,SFA0708,2008
G,Data generated from other data values,SFA0708,2008
H,Value not derived - data not usable,SFA0708,2008
J,Logical imputation,SFA0708,2008
K,Ratio adjustment,SFA0708,2008
L,Imputed using the Group Median procedure,SFA0708,2008
N,Imputed using Nearest Neighbor procedure,SFA0708,2008
P,Imputed using Carry Forward procedure,SFA0708,2008
R,Reported,SFA0708,2008
Z,Implied zero;,SFA0708,2008
A,Not applicable,EAP2009.XLS,2009
B,Institution left item blank,EAP2009.XLS,2009
C,Analyst corrected reported value,EAP2009.XLS,2009
D,Do not know,EAP2009.XLS,2009
G,Data generated from other data values,EAP2009.XLS,2009
H,Value not derived - data not usable,EAP2009.XLS,2009
J,Logical imputation,EAP2009.XLS,2009
K,Ratio adjustment,EAP2009.XLS,2009
L,Imputed using the Group Median procedure,EAP2009.XLS,2009
N,Imputed using Nearest Neighbor procedure,EAP2009.XLS,2009
P,Imputed using Carry Forward procedure,EAP2009.XLS,2009
R,Reported,EAP2009.XLS,2009
Z,Implied zero;,EAP2009.XLS,2009
A,Not applicable,EF2009A.XLS,2009
B,Institution left item blank,EF2009A.XLS,2009
C,Analyst corrected reported value,EF2009A.XLS,2009
D,Do not know,EF2009A.XLS,2009
G,Data generated from other data values,EF2009A.XLS,2009
H,Value not derived - data not usable,EF2009A.XLS,2009
J,Logical imputation,EF2009A.XLS,2009
K,Ratio adjustment,EF2009A.XLS,2009
L,Imputed using the Group Median procedure,EF2009A.XLS,2009
N,Imputed using Nearest Neighbor procedure,EF2009A.XLS,2009
P,Imputed using Carry Forward procedure,EF2009A.XLS,2009
R,Reported,EF2009A.XLS,2009
Z,Implied zero;,EF2009A.XLS,2009
A,Not applicable,EF2009B.XLS,2009
B,Institution left item blank,EF2009B.XLS,2009
C,Analyst corrected reported value,EF2009B.XLS,2009
D,Do not know,EF2009B.XLS,2009
G,Data generated from other data values,EF2009B.XLS,2009
H,Value not derived - data not usable,EF2009B.XLS,2009
J,Logical imputation,EF2009B.XLS,2009
K,Ratio adjustment,EF2009B.XLS,2009
L,Imputed using the Group Median procedure,EF2009B.XLS,2009
N,Imputed using Nearest Neighbor procedure,EF2009B.XLS,2009
P,Imputed using Carry Forward procedure,EF2009B.XLS,2009
R,Reported,EF2009B.XLS,2009
Z,Implied zero;,EF2009B.XLS,2009
A,Not applicable,EF2009C.XLS,2009
B,Institution left item blank,EF2009C.XLS,2009
C,Analyst corrected reported value,EF2009C.XLS,2009
D,Do not know,EF2009C.XLS,2009
G,Data generated from other data values,EF2009C.XLS,2009
H,Value not derived - data not usable,EF2009C.XLS,2009
J,Logical imputation,EF2009C.XLS,2009
K,Ratio adjustment,EF2009C.XLS,2009
L,Imputed using the Group Median procedure,EF2009C.XLS,2009
N,Imputed using Nearest Neighbor procedure,EF2009C.XLS,2009
P,Imputed using Carry Forward procedure,EF2009C.XLS,2009
R,Reported,EF2009C.XLS,2009
Z,Implied zero;,EF2009C.XLS,2009
A,Not applicable,EF2009D.XLS,2009
B,Institution left item blank,EF2009D.XLS,2009
C,Analyst corrected reported value,EF2009D.XLS,2009
D,Do not know,EF2009D.XLS,2009
G,Data generated from other data values,EF2009D.XLS,2009
H,Value not derived - data not usable,EF2009D.XLS,2009
J,Logical imputation,EF2009D.XLS,2009
K,Ratio adjustment,EF2009D.XLS,2009
L,Imputed using the Group Median procedure,EF2009D.XLS,2009
N,Imputed using Nearest Neighbor procedure,EF2009D.XLS,2009
P,Imputed using Carry Forward procedure,EF2009D.XLS,2009
R,Reported,EF2009D.XLS,2009
Z,Implied zero;,EF2009D.XLS,2009
A,Not applicable,EFFY2009.XLS,2009
B,Institution left item blank,EFFY2009.XLS,2009
C,Analyst corrected reported value,EFFY2009.XLS,2009
D,Do not know,EFFY2009.XLS,2009
G,Data generated from other data values,EFFY2009.XLS,2009
H,Value not derived - data not usable,EFFY2009.XLS,2009
J,Logical imputation,EFFY2009.XLS,2009
K,Ratio adjustment,EFFY2009.XLS,2009
L,Imputed using the Group Median procedure,EFFY2009.XLS,2009
N,Imputed using Nearest Neighbor procedure,EFFY2009.XLS,2009
P,Imputed using Carry Forward procedure,EFFY2009.XLS,2009
R,Reported,EFFY2009.XLS,2009
Z,Implied zero;,EFFY2009.XLS,2009
A,Not applicable,EFIA2009.XLS,2009
B,Institution left item blank,EFIA2009.XLS,2009
C,Analyst corrected reported value,EFIA2009.XLS,2009
D,Do not know,EFIA2009.XLS,2009
G,Data generated from other data values,EFIA2009.XLS,2009
H,Value not derived - data not usable,EFIA2009.XLS,2009
J,Logical imputation,EFIA2009.XLS,2009
K,Ratio adjustment,EFIA2009.XLS,2009
L,Imputed using the Group Median procedure,EFIA2009.XLS,2009
N,Imputed using Nearest Neighbor procedure,EFIA2009.XLS,2009
P,Imputed using Carry Forward procedure,EFIA2009.XLS,2009
R,Reported,EFIA2009.XLS,2009
Z,Implied zero;,EFIA2009.XLS,2009
A,Not applicable,F0809_F1A.XLS,2009
B,Institution left item blank,F0809_F1A.XLS,2009
C,Analyst corrected reported value,F0809_F1A.XLS,2009
D,Do not know,F0809_F1A.XLS,2009
G,Data generated from other data values,F0809_F1A.XLS,2009
H,Value not derived - data not usable,F0809_F1A.XLS,2009
J,Logical imputation,F0809_F1A.XLS,2009
K,Ratio adjustment,F0809_F1A.XLS,2009
L,Imputed using the Group Median procedure,F0809_F1A.XLS,2009
N,Imputed using Nearest Neighbor procedure,F0809_F1A.XLS,2009
P,Imputed using Carry Forward procedure,F0809_F1A.XLS,2009
R,Reported,F0809_F1A.XLS,2009
Z,Implied zero;,F0809_F1A.XLS,2009
A,Not applicable,F0809_F2.XLS,2009
B,Institution left item blank,F0809_F2.XLS,2009
C,Analyst corrected reported value,F0809_F2.XLS,2009
D,Do not know,F0809_F2.XLS,2009
G,Data generated from other data values,F0809_F2.XLS,2009
H,Value not derived - data not usable,F0809_F2.XLS,2009
J,Logical imputation,F0809_F2.XLS,2009
K,Ratio adjustment,F0809_F2.XLS,2009
L,Imputed using the Group Median procedure,F0809_F2.XLS,2009
N,Imputed using Nearest Neighbor procedure,F0809_F2.XLS,2009
P,Imputed using Carry Forward procedure,F0809_F2.XLS,2009
R,Reported,F0809_F2.XLS,2009
Z,Implied zero;,F0809_F2.XLS,2009
A,Not applicable,F0809_F3.XLS,2009
B,Institution left item blank,F0809_F3.XLS,2009
C,Analyst corrected reported value,F0809_F3.XLS,2009
D,Do not know,F0809_F3.XLS,2009
G,Data generated from other data values,F0809_F3.XLS,2009
H,Value not derived - data not usable,F0809_F3.XLS,2009
J,Logical imputation,F0809_F3.XLS,2009
K,Ratio adjustment,F0809_F3.XLS,2009
L,Imputed using the Group Median procedure,F0809_F3.XLS,2009
N,Imputed using Nearest Neighbor procedure,F0809_F3.XLS,2009
P,Imputed using Carry Forward procedure,F0809_F3.XLS,2009
R,Reported,F0809_F3.XLS,2009
Z,Implied zero;,F0809_F3.XLS,2009
A,Not applicable,GR200_09.XLS,2009
B,Institution left item blank,GR200_09.XLS,2009
C,Analyst corrected reported value,GR200_09.XLS,2009
D,Do not know,GR200_09.XLS,2009
G,Data generated from other data values,GR200_09.XLS,2009
H,Value not derived - data not usable,GR200_09.XLS,2009
J,Logical imputation,GR200_09.XLS,2009
K,Ratio adjustment,GR200_09.XLS,2009
L,Imputed using the Group Median procedure,GR200_09.XLS,2009
N,Imputed using Nearest Neighbor procedure,GR200_09.XLS,2009
P,Imputed using Carry Forward procedure,GR200_09.XLS,2009
R,Reported,GR200_09.XLS,2009
Z,Implied zero;,GR200_09.XLS,2009
A,Not applicable,GR2009.XLS,2009
B,Institution left item blank,GR2009.XLS,2009
C,Analyst corrected reported value,GR2009.XLS,2009
D,Do not know,GR2009.XLS,2009
G,Data generated from other data values,GR2009.XLS,2009
H,Value not derived - data not usable,GR2009.XLS,2009
J,Logical imputation,GR2009.XLS,2009
K,Ratio adjustment,GR2009.XLS,2009
L,Imputed using the Group Median procedure,GR2009.XLS,2009
N,Imputed using Nearest Neighbor procedure,GR2009.XLS,2009
P,Imputed using Carry Forward procedure,GR2009.XLS,2009
R,Reported,GR2009.XLS,2009
Z,Implied zero;,GR2009.XLS,2009
A,Not applicable,GR2009_L2.XLS,2009
B,Institution left item blank,GR2009_L2.XLS,2009
C,Analyst corrected reported value,GR2009_L2.XLS,2009
D,Do not know,GR2009_L2.XLS,2009
G,Data generated from other data values,GR2009_L2.XLS,2009
H,Value not derived - data not usable,GR2009_L2.XLS,2009
J,Logical imputation,GR2009_L2.XLS,2009
K,Ratio adjustment,GR2009_L2.XLS,2009
L,Imputed using the Group Median procedure,GR2009_L2.XLS,2009
N,Imputed using Nearest Neighbor procedure,GR2009_L2.XLS,2009
P,Imputed using Carry Forward procedure,GR2009_L2.XLS,2009
R,Reported,GR2009_L2.XLS,2009
Z,Implied zero;,GR2009_L2.XLS,2009
A,Not applicable,IC2009_AY.XLS,2009
B,Institution left item blank,IC2009_AY.XLS,2009
C,Analyst corrected reported value,IC2009_AY.XLS,2009
D,Do not know,IC2009_AY.XLS,2009
G,Data generated from other data values,IC2009_AY.XLS,2009
H,Value not derived - data not usable,IC2009_AY.XLS,2009
J,Logical imputation,IC2009_AY.XLS,2009
K,Ratio adjustment,IC2009_AY.XLS,2009
L,Imputed using the Group Median procedure,IC2009_AY.XLS,2009
N,Imputed using Nearest Neighbor procedure,IC2009_AY.XLS,2009
P,Imputed using Carry Forward procedure,IC2009_AY.XLS,2009
R,Reported,IC2009_AY.XLS,2009
Y,Particular Doctor's professional practice field not applicable,IC2009_AY.XLS,2009
Z,Implied zero;,IC2009_AY.XLS,2009
